Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Hotel Poonja International,3.5,mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,1677.0
THE OCEAN PEARL INN,4.3,mangalore,Free breakfast,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,0,4106.0
The Ocean Pearl,4.4,mangalore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5891.0
Royal Plaza Suites,4.7,mangalore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,0,4409.0
Goldfinch Hote l Mangaluru,4.2,mangalore,Breakfast,Free Wi-Fi,Paid parking,Pool,Fitness center,Restaurant,Room service,Kitchen,Airport shuttle,4619.0
Hotel Paramount Suites & Service Apartments (Mangalore),4.5,mangalore,Free Wi-Fi,Free parking,Pool,Air conditioning,Room service,Kitchen,Full-service laundry,Business center,0,2464.0
Hotel Plaza Heights,4.6,mangalore,Free Wi-Fi,Free parking,Air conditioning,Smoke-free,0,0,0,0,0,1937.0
Woodlands Hotel,4.0,mangalore,Breakfast,Free parking,Wi-Fi,Restaurant,Room service,Full-service laundry,Kid-friendly,0,0,1888.0
AJ Grand Hotel,4.5,mangalore,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,Restaurant,4620.0
Hotel Ganga Sagar,4.3,mangalore,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,Smoke-free,1348.0
The Sea View,4.2,mangalore,Free breakfast,Free Wi-Fi,Free parking,Pool,Spa,Bar,Restaurant,Room service,Kitchen,4936.0
Grand Mercure Mysore,4.5,mysore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,7503.0
Treebo Trend Akshaya Mahal Inn - Hotel in Mysore,4.2,mysore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kid-friendly,0,5572.0
Tulips Homestay | Studio Rooms & Wi-Fi,4.3,mysore,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2195.0
Lalitha Mahal Palace Hotel,4.3,mysore,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,5244.0
"Hotel Heritage Inn, Mysore",4.3,mysore,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,1967.0
Hotel Garden City,3.6,mysore,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,715.0
Aishwarya Le Royal (Best Budget Hotel in Mysore),3.7,mysore,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,0,0,1048.0
Hotel Mayura Hoysala Mysuru,4.1,mysore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Bar,Restaurant,Room service,Airport shuttle,2419.0
Livaana (Formerly known as Vivaana),3.8,mysore,Breakfast,Free Wi-Fi,Free parking,Pool,Bar,Restaurant,Room service,Kitchen,Airport shuttle,2193.0
Hotel Sandesh The Prince,4.1,mysore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,3008.0
"Fortune JP Palace, Mysore - Member ITC's hotel group",4.3,mysore,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,4880.0
Grand Mercure Mysore,4.5,mysore,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6000.0
Country Inn Mysore - Mosaic,4.5,mysore,0,0,0,0,0,0,0,0,0,4645.0
Hotel Sepoy Grande,4.0,mysore,3-star hotel,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Airport shuttle,Full-service laundry,0,1455.0
Silent Shores Resort & Spa,4.3,mysore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,6838.0
Maya's Kings Kourt,4.1,mysore,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,1852.0
Rahee Bi Roambay,4.5,mysore,0,0,0,0,0,0,0,0,0,1398.0
REGALIA INN AND SUITES,4.0,mysore,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,1628.0
Hotel Kalyani,3.9,mysore,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,1288.0
Royal Tusker Luxury Service Apartments,4.9,mysore,Free Wi-Fi,Free parking,Air conditioning,Spa,Breakfast,Kitchen,Airport shuttle,Full-service laundry,Accessible,2107.0
Grand Maurya Hotel & Resort,4.1,mysore,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,2828.0
Tulips Homestay Mysore,4.4,mysore,Sleeps 4,Airport shuttle,Cable TV,Wheelchair accessible,Free parking,Free Wi-Fi,No air conditioning,No beach access,No elevator,2387.0
Hotel Mayura Hoysala Mysuru,4.1,mysore,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Breakfast,Bar,Restaurant,Room service,Airport shuttle,2531.0
Hotel Sandesh The Prince,4.1,mysore,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6551.0
LP Vilas,4.4,dehradun,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5848.0
Shahanshahi Adventure Park and Wellness Resort,4.2,dehradun,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,Bar,3207.0
The River's Edge Farm - A Boutique Stay,4.5,dehradun,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Room service,Airport shuttle,Full-service laundry,Kid-friendly,6114.0
Mango Tree Courtyard,4.7,dehradun,Free breakfast,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,0,2285.0
Hyatt Regency Dehradun Resort and Spa,4.6,dehradun,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,20562.0
The Hosteller Dehradun,4.8,dehradun,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,0,0,0,1315.0
Adidev Group of Homestays,4.6,dehradun,Breakfast,Free Wi-Fi,Paid parking,Kitchen,Full-service laundry,0,0,0,0,1005.0
Riverstone Cottages,4.0,dehradun,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Full-service laundry,Kid-friendly,4686.0
Ramada by Wyndham,4.2,dehradun,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6131.0
"Tree of Life Resort, Dehradun Foothills",4.5,dehradun,Free breakfast,Free Wi-Fi,Free parking,Pool,Pet-friendly,Restaurant,Room service,Kitchen,Full-service laundry,6176.0
Hotel Rajpur Heights,4.0,dehradun,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2169.0
Bhagwant Villa - A terrace view,4.4,dehradun,Sleeps 4,1 bedroom,Fireplace,Paid parking,No air conditioning,No crib,No elevator,No fitness center,No ironing board,2090.0
Fairfield by Marriott Dehradun,4.4,dehradun,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,11682.0
The Sal Woods - Forest Retreat and Spa,3.9,dehradun,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Spa,Restaurant,6384.0
Old British House,4.7,dehradun,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Business center,1923.0
LP Vilas,4.4,dehradun,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,4925.0
Hotel JSR Continental,3.9,dehradun,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,3843.0
Clarion Hotel Dehradun,4.4,dehradun,0,0,0,0,0,0,0,0,0,3728.0
Hotel Embassy Dehradun & The Trekkers Hostel,3.8,dehradun,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,1069.0
Mango Tree Courtyard | Heritage Rooms with Wi-Fi,4.5,dehradun,Sleeps 9,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,3775.0
Treebo Trend Elysee,3.8,dehradun,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,9035.0
Treebo Trend Blessing Bells,4.0,dehradun,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,9037.0
Walisons Hotel,4.2,srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Restaurant,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,3780.0
"The Montreal, Srinagar- Best Hotels/4 Star Hotels/Hotel Near Dal Lake/Hotel Near Mughal Garden",4.4,srinagar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,8991.0
Zostel Srinagar,4.5,srinagar,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Smoke-free,0,0,1853.0
The Shelter Heritage A Boutique Hotel,4.5,srinagar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Golf,Full-service laundry,2510.0
Hotel Samar,4.2,srinagar,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,Smoke-free,1669.0
Jamal Resorts,4.0,srinagar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,4215.0
Hotel Himalayan Resort,4.1,srinagar,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Pet-friendly,Bar,Restaurant,Room service,Kitchen,3920.0
Hotel New Green View Srinagar (Ghulam),3.8,srinagar,0,0,0,0,0,0,0,0,0,723.0
Asian Park Hotel,3.8,srinagar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,4456.0
The victory (A Boutique Hotel),4.0,srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,3686.0
Hotel Sultan Residency,4.6,srinagar,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,Full-service laundry,1848.0
Hotel Royal Heritage,4.2,srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,3935.0
"The Montreal, Srinagar- Best Hotels/4 Star Hotels/Hotel Near Dal Lake/Hotel Near Mughal Garden",4.4,srinagar,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Accessible,5142.0
Floating Heritage Group,3.9,srinagar,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Pet-friendly,Fitness center,1344.0
Hotel Kashmir Inn,3.9,srinagar,2-star hotel,Free Wi-Fi,Paid parking,Pool,Breakfast,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,826.0
Hotel Merlin Palace,4.8,srinagar,0,0,0,0,0,0,0,0,0,1344.0
Hotel Kashmir Hilltown,3.8,srinagar,3-star hotel,Free Wi-Fi,Paid parking,Pool,Kitchen,Full-service laundry,Kid-friendly,0,0,1700.0
Hotel Zaryab,4.7,srinagar,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Accessible,5679.0
Hotel Meridien,4.0,srinagar,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,3632.0
Hotel Lake Scene,3.4,srinagar,0,0,0,0,0,0,0,0,0,664.0
"The Orchard Retreat & Spa, Srinagar",4.3,srinagar,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,14172.0
Radisson Hotel Srinagar,4.1,srinagar,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Spa,Restaurant,Room service,14160.0
Centre Point,4.2,jamshedpur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,4480.0
Hotel Golden Heights - Best Hotel | Budget Hotel | Best Review Hotel in Jamshedpur,4.2,jamshedpur,Free Wi-Fi,Pool,Restaurant,Kitchen,Full-service laundry,0,0,0,0,1762.0
The Cruze,4.2,jamshedpur,0,0,0,0,0,0,0,0,0,5664.0
Hotel AB Palace - Top Budget & Luxury Hotels in Jamshedpur,4.0,jamshedpur,3-star hotel,Free breakfast,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,1384.0
The Bizton,4.5,jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,5550.0
Adarsh Guest House,4.5,jamshedpur,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,448.0
Ramada by Wyndham Jamshedpur,4.2,jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5008.0
The Onyx Hotel - Hotel in Jamshedpur,4.3,jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2284.0
Hotel Trax International,4.7,jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,1972.0
The Altira Hotel,4.1,jamshedpur,3-star hotel,Breakfast,Free Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Full-service laundry,Kid-friendly,1477.0
NOVANTA JAMSHEDPUR,4.4,jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Airport shuttle,Full-service laundry,6689.0
Ginger Jamshedpur,4.0,jamshedpur,3-star hotel,Free Wi-Fi,Paid parking,Air conditioning,Fitness center,Breakfast,Full-service laundry,Kid-friendly,0,3135.0
"The Sonnet, Jamshedpur",4.3,jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Bar,Restaurant,Room service,3554.0
HOTEL DS INTERNATIONAL & KALYANAM BANQUET HALL,4.1,jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,2668.0
Madhuban Motel,4.0,jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,2726.0
Capsule Pod Hotel,4.4,jamshedpur,0,0,0,0,0,0,0,0,0,1073.0
Hotel Chandra,4.1,jamshedpur,2-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Room service,Full-service laundry,Business center,Kid-friendly,Smoke-free,729.0
Hotel Grand Residency,4.0,jamshedpur,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2281.0
Treebo Trend Pal Comfort - Hotel in Jamshedpur,4.2,jamshedpur,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,Kid-friendly,2142.0
Gyani's Hotel,4.6,jamshedpur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,Smoke-free,1779.0
THE PRABHA INTERNATIONAL HOTEL & CATERERS,4.0,gwalior,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2158.0
Hotel Ambience,3.9,gwalior,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2191.0
Hotel Solitaire Inn,3.9,gwalior,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Full-service laundry,Kid-friendly,Smoke-free,1372.0
Radisson Gwalior,4.3,gwalior,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,6160.0
Hotel Countryside,3.1,gwalior,0,0,0,0,0,0,0,0,0,1230.0
The Empire Resort,4.3,gwalior,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Pet-friendly,Spa,Restaurant,Room service,Kitchen,2785.0
Clarks Inn Suites Gwalior,4.4,gwalior,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,4280.0
The Moziac Hotel,4.0,gwalior,Free breakfast,Free Wi-Fi,Paid parking,Air conditioning,Spa,Restaurant,Room service,Kitchen,Full-service laundry,2116.0
"Taj Usha Kiran Palace, Gwalior",4.5,gwalior,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,20894.0
Imperial Golf Resort and Wedding Lawns,4.5,gwalior,0,0,0,0,0,0,0,0,0,12458.0
Hotel Gold Inn,3.9,gwalior,Free Wi-Fi,Free parking,Restaurant,Room service,Kitchen,Full-service laundry,Smoke-free,0,0,2034.0
Hotel Ambience,3.9,gwalior,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,2191.0
Hotel Anand Palace,3.7,gwalior,3-star hotel,Breakfast,Free Wi-Fi,Air conditioning,Pet-friendly,Restaurant,Room service,Airport shuttle,Full-service laundry,1119.0
THE PRABHA INTERNATIONAL HOTEL & CATERERS,4.0,gwalior,Free breakfast,Free Wi-Fi,Free parking,Hot tub,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2116.0
Royal Sunrise Resort,3.9,gwalior,Free Wi-Fi,Paid parking,Pool,Kitchen,Full-service laundry,0,0,0,0,3232.0
Krishnam Guest House,4.0,gwalior,0,0,0,0,0,0,0,0,0,1115.0
Hotel Centella,4.1,gwalior,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Smoke-free,0,2567.0
Chaitanya Kalyan Guest House,3.7,gwalior,0,0,0,0,0,0,0,0,0,672.0
Dera Haveli Heritage Homestay,4.3,gwalior,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,4312.0
Govind Niwas Home Stay,2.6,gwalior,Sleeps 8,3 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,1304.0
Clarks Inn Suites Gwalior,4.4,gwalior,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,4622.0
The Central Park Hotel,3.9,gwalior,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5641.0
Treebo Trend Baby Pearl,3.9,amravati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1909.0
Hotel Gouri Inn,3.9,amravati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2225.0
Hotel Regency,4.1,amravati,3-star hotel,Free breakfast,Free parking,Wi-Fi,Room service,Full-service laundry,Kid-friendly,Smoke-free,0,969.0
The Grand Mehfil,4.3,amravati,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,4021.0
Maniratna Resort,4.0,amravati,0,0,0,0,0,0,0,0,0,3588.0
Hotel Rangoli Pearl,4.1,amravati,1-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,3130.0
The Grand Mehfil,3.9,amravati,0,0,0,0,0,0,0,0,0,3880.0
Hotel Gouri Inn,3.9,amravati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,1940.0
Empire Stay,4.5,amravati,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2808.0
Hotel Four Season,3.5,amravati,0,0,0,0,0,0,0,0,0,2973.0
The Prime Park,4.3,amravati,0,0,0,0,0,0,0,0,0,3394.0
Treebo Trend Baby Pearl,3.9,amravati,3-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1904.0
Hotel Vandu International,4.0,amravati,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,2526.0
Hotel Rajdhani,4.0,amravati,Free breakfast,Free Wi-Fi,Air conditioning,Pet-friendly,Airport shuttle,Full-service laundry,Kid-friendly,0,0,1568.0
Hotel Excel Executive,3.8,amravati,3-star hotel,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,Kitchen,1830.0
Hotel Regency,4.1,amravati,3-star hotel,Free breakfast,Free parking,Wi-Fi,Room service,Full-service laundry,Kid-friendly,Smoke-free,0,1276.0
Hotel Rangoli Pearl,4.1,amravati,1-star hotel,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Restaurant,Room service,Airport shuttle,3130.0
"The Peerless Inn, Durgapur",4.0,durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2589.0
The Citi Residenci Hotel,4.2,durgapur,Free breakfast,Free Wi-Fi,Free parking,Pool,Fitness center,Spa,Bar,Restaurant,Room service,2576.0
The Citi Residenci Hotel,4.2,durgapur,Free breakfast,Free Wi-Fi,Free parking,Pool,Fitness center,Spa,Bar,Restaurant,Room service,2473.0
"Fortune Park Pushpanjali, Durgapur - Member ITC's hotel group",4.6,durgapur,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,5881.0
HOTEL GALAXY INN,3.6,durgapur,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Airport shuttle,Full-service laundry,Kid-friendly,795.0
"The Peerless Inn, Durgapur",4.0,durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Kitchen,2589.0
The Damodar Retreat,4.6,durgapur,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,2183.0
Banerjee Inn- City Centre,4.1,durgapur,3-star hotel,Free breakfast,Wi-Fi,Pool,Air conditioning,Bar,Restaurant,Room service,Full-service laundry,1764.0
City International Hotel,3.8,durgapur,3-star hotel,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,0,0,1518.0
Morvee Hotels Durgapur,4.4,durgapur,Free breakfast,Free Wi-Fi,Paid parking,Spa,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,2245.0
Kalpana Inn,4.0,durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Room service,Full-service laundry,1223.0
The Spices,4.0,durgapur,0,0,0,0,0,0,0,0,0,1663.0
Hotel Steel Regency,3.6,durgapur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Kid-friendly,1039.0
Hotel Astor,4.3,durgapur,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Business center,1992.0
Park prime hotel,3.9,durgapur,3-star hotel,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2388.0
OJAS HOTEL & RESORT,4.4,durgapur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,1985.0
Kohinoor Hotel and Restaurant Benachity (A Legend since 1956),3.7,durgapur,0,0,0,0,0,0,0,0,0,1280.0
Hotel ASTOR,4.5,durgapur,Free breakfast,Free Wi-Fi,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,0,2047.0
Morvee Hotels Durgapur,4.4,durgapur,Free breakfast,Free Wi-Fi,Paid parking,Spa,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,2245.0
OJAS HOTEL & RESORT,4.4,durgapur,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,Full-service laundry,2046.0
Treebo Trend Winsome Banquet And Resort,4.6,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Business center,2304.0
Treebo Trend Archie Regency,4.0,ranchi,3-star hotel,Free breakfast,Free Wi-Fi,Air conditioning,Restaurant,Room service,Full-service laundry,Kid-friendly,0,2205.0
Radisson Blu Hotel Ranchi,4.5,ranchi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,8047.0
"FabHotel Accord - Hotel in Ranchi Railway Station, Ranchi",4.6,ranchi,Free breakfast,Free Wi-Fi,Pool,Air conditioning,Paid parking,Restaurant,Room service,Kid-friendly,0,2426.0
Park Prime Ranchi,4.0,ranchi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Fitness center,Spa,3931.0
Treebo Trend Winsome Banquet And Resort,4.6,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,Business center,2304.0
Hotel Meera,4.2,ranchi,Free Wi-Fi,Pool,Air conditioning,Full-service laundry,Kid-friendly,0,0,0,0,645.0
The Royal Retreat,4.2,ranchi,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,Room service,4140.0
Maplewood Hotel,4.1,ranchi,3-star hotel,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Full-service laundry,Accessible,3121.0
Hotel Kuber Palace,4.6,ranchi,1-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Bar,Restaurant,Room service,1120.0
Hotel Fountain,4.3,ranchi,0,0,0,0,0,0,0,0,0,1680.0
Samargarh Resorts and hotel,3.9,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,Full-service laundry,2654.0
The Cennet Ranchi,4.4,ranchi,Free breakfast,Free Wi-Fi,Paid parking,Pool,Restaurant,Room service,Kitchen,Full-service laundry,0,2160.0
